Data Table,,,,,,
Name,,1,2,3,4,5
White Tablecloth,1,426.585,301.1445,547.4069,434.9614,125.5632
,2,97.3793,24.912,49.9304,74.2293,30.4803
,3,112.2266,153.2395,129.0779,150.0797,81.936
,,,,,,
Density,,,,,,0.128
,,,,,,
Name,,1,2,3,4,5
Gray Interlocks,1,214.1622,304.1104,317.7246,360.2761,215.9268
,2,80.6053,60.7433,53.3153,81.7315,28.8556
,3,119.7493,59.1956,121.8268,207.0164,162.6892
,,,,,,
Density,,,,,,0.22
,,,,,,
Name,,1,2,3,4,5
Black Denim,1,295.1041,277.1289,280.1503,287.0009,91.1319
,2,706.2234,574.259,587.8165,656.7389,346.7716
,3,620.3647,690.0892,723.4425,771.4904,510.4954
,,,,,,
Density,,,,,,0.348
,,,,,,
Name,,1,2,3,4,5
Deep Brown Shirt,1,363.2007,256.3988,466.0703,370.3325,106.9064
,2,363.1771,92.9095,186.2161,276.8387,113.6768
,3,110.8141,81.1559,93.3418,108.5291,59.2514
,,,,,,
Density,,,,,,0.136
,,,,,,
Name,,1,2,3,4,5
T-shirt,1,118.9392,168.8937,176.4546,200.0865,119.9192
,2,168.1819,126.7401,111.2418,170.5319,60.2069
,3,50.2055,24.818,51.0765,86.7927,68.2083
,,,,,,
Density,,,,,,0.155
,,,,,,
Name,,1,2,3,4,5
Brown Jean,1,533.3507,500.8637,506.3242,518.7055,164.7056
,2,172.3788,140.1682,143.4774,160.3003,84.6418
,3,472.8643,526.0109,551.434,588.0578,389.118
,,,,,,
Density,,,,,,0.326
